0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:59:12 +0900] "GET /TeamProject1/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:59:12 +0900] "GET /TeamProject1/img2/time.gif HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:59:13 +0900] "GET /TeamProject1/home.jsp HTTP/1.1" 200 13637
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:59:13 +0900] "GET /TeamProject1/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:59:13 +0900] "GET /TeamProject1/img2/time.gif HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:59:13 +0900] "GET /TeamProject1/home.jsp HTTP/1.1" 200 13637
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:59:13 +0900] "GET /TeamProject1/img2/time.gif HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:59:14 +0900] "GET /TeamProject1/home.jsp HTTP/1.1" 200 13637
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:59:14 +0900] "GET /TeamProject1/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:59:14 +0900] "GET /TeamProject1/img2/time.gif HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:59:14 +0900] "GET /TeamProject1/home.jsp HTTP/1.1" 200 13637
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:59:14 +0900] "GET /TeamProject1/img2/time.gif HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:59:18 +0900] "GET /TeamProject1/watch.html HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:59:22 +0900] "GET /TeamProject1/css/home.css HTTP/1.1" 304 -
